date, pm25
2020/9/30, 47
2020/10/1, 52
2020/4/2, 77
2020/4/3, 78
2020/4/4, 75
2020/4/5, 66
2020/4/6, 69
2020/4/7, 60
2020/4/8, 70
2020/4/9, 54
2020/4/10, 57
2020/4/11, 60
2020/4/12, 66
2020/4/13, 64
2020/4/14, 64
2020/4/15, 61
2020/4/16, 67
2020/4/17, 75
2020/4/18, 76
2020/4/19, 66
2020/4/20, 59
2020/4/21, 50
2020/4/22, 59
2020/4/23, 72
2020/4/24, 79
2020/4/25, 60
2020/4/26, 58
2020/4/27, 69
2020/4/28, 63
2020/4/29, 43
2020/4/30, 56
2020/5/1, 64
2020/5/2, 81
2020/5/3, 62
2020/5/4, 54
2020/5/5, 64
2020/5/6, 66
2020/5/7, 66
2020/5/8, 63
2020/5/9, 62
2020/5/10, 56
2020/5/11, 66
2020/5/12, 54
2020/5/13, 64
2020/5/14, 49
2020/5/15, 44
2020/5/16, 58
2020/5/17, 57
2020/5/18, 55
2020/5/19, 55
2020/5/20, 62
2020/5/21, 58
2020/5/22, 73
2020/5/23, 68
2020/5/24, 73
2020/5/25, 68
